"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"04XA","","Pecan Field","Jermyn","Texas","US",1130,33.283933,-98.402861,"America/Chicago","04XA"
"05AK","","Wasilla Creek Airpark","Palmer","Alaska","US",645,61.668654,-149.187333,"America/Anchorage","05AK"
"05AN","","Weltons Aerodrome","Fox","Alaska","US",795,64.960472,-147.601092,"America/Anchorage","05AN"
"05AR","","Ozark Skies Airpark","Kingston","Arkansas","US",1900,36.000633,-93.57025,"America/Chicago","05AR"
"05CL","","Pope Valley Airport","Pope Valley","California","US",618,38.610739,-122.391368,"America/Los_Angeles","05CL"
"05CO","","Rancho De Aereo Airport","Mead","Colorado","US",4978,40.214984,-104.984423,"America/Denver","05CO"
"05FA","","Melanie's Airport","Florala","Florida","US",295,30.918889,-86.218333,"America/Chicago","05FA"
"05FL","","Charlton Strip","La Belle","Florida","US",36,26.520222,-81.410222,"America/New_York","05FL"
"05GA","","Ark Airport","Richland","Georgia","US",625,32.071389,-84.714444,"America/New_York","05GA"
"05IA","","Spotts Field","Nora Springs","Iowa","US",1155,43.137871,-93.068342,"America/Chicago","05IA"
"05ID","","Running Creek Ranch Airport","Grangeville","Idaho","US",2969,45.914084,-114.835661,"America/Los_Angeles","05ID"
"05IL","","Classic Landings Airport","Bonfield","Illinois","US",635,41.16,-88.016667,"America/Chicago","05IL"
"05IN","","Cooper Airport","Belleville","Indiana","US",860,39.641991,-86.504164,"America/Indiana/Indianapolis","05IN"
"05KS","","Darbro Field","Elk City","Kansas","US",925,37.266339,-95.958975,"America/Chicago","05KS"
"05KT","","High Point Farm Airport","Frankfort","Kentucky","US",880,38.188203,-84.927503,"America/New_York","05KT"
"05KY","","Cartersville Airport","Berea","Kentucky","US",1070,37.535556,-84.407222,"America/New_York","05KY"
"05LA","","Greg's Flying Service Airport","Baskin","Louisiana","US",77,32.265421,-91.697921,"America/Chicago","05LA"
"05LS","","Grass Roots Airport","Alexandria","Louisiana","US",83,31.252222,-92.475833,"America/Chicago","05LS"
"05MD","","Breezecroft Airport","Chestertown","Maryland","US",20,39.244219,-76.198671,"America/New_York","05MD"
"05ME","","Drisko Kelley Airport","Jonesboro","Maine","US",70,44.657022,-67.55916,"America/New_York","05ME"
"05MO","","Jetsetter Outdoors Airport","Edina","Missouri","US",776,40.172019,-92.212508,"America/Chicago","05MO"
"05MT","","Jones Landing Airport","Belgrade","Montana","US",4364,45.816628,-111.152142,"America/Denver","05MT"
"05NC","","Dead Cow Field","Beaufort","North Carolina","US",11,34.759444,-76.644722,"America/New_York","05NC"
"05NE","","Mc Kay Airport","Spalding","Nebraska","US",2010,41.722233,-98.308958,"America/Chicago","05NE"
"05NR","","Fox Field","Mebane","North Carolina","US",675,36.168415,-79.276908,"America/New_York","05NR"
"05NV","","Baker Ranches Airport","Baker","Nevada","US",5180,39.025833,-114.095,"America/Los_Angeles","05NV"
"05OH","","Eaglecrest Field","Conesville","Ohio","US",968,40.184667,-81.920625,"America/New_York","05OH"
"05OK","","Muncy Airport","Hydro","Oklahoma","US",1680,35.471364,-98.541708,"America/Chicago","05OK"
"05OR","","6 Ranch Airport","Enterprise","Oregon","US",3500,45.44425,-117.347306,"America/Los_Angeles","05OR"
"05PS","","Mills Brothers Airport","Burnt Cabins","Pennsylvania","US",1210,40.142778,-77.861944,"America/New_York","05PS"
"05TA","","Brandes Air Field","Sealy","Texas","US",270,29.809081,-96.263964,"America/Chicago","05TA"
"05TE","","Hilde-Griff Field","Georgetown","Texas","US",950,30.722133,-97.791403,"America/Chicago","05TE"
"05TS","","Dew Drop Airport","Justin","Texas","US",750,33.129287,-97.358631,"America/Chicago","05TS"
"05TX","","Circle 'A' Ranch Airport","Blum","Texas","US",608,32.129167,-97.404167,"America/Chicago","05TX"
"05UT","","Sand Cove Ranch Airport","Veyo","Utah","US",4478,37.288084,-113.696944,"America/Denver","05UT"
"05VA","","Providence Airport","Farmville","Virginia","US",445,37.224167,-78.418611,"America/New_York","05VA"
"05WI","","Ames Private Airport","Darien","Wisconsin","US",958,42.651124,-88.745939,"America/Chicago","05WI"
"05WN","","Flat Creek Field","Kettle Falls","Washington","US",1570,48.702222,-118.0475,"America/Los_Angeles","05WN"
"05XS","","Johnson Memorial Airport","Wilmot","Arkansas","US",105,33.0785,-91.561833,"America/Chicago","05XS"
"06AA","","Twisted Sisters Airport","Sterling","Alaska","US",260,60.540139,-150.813611,"America/Anchorage","06AA"
"06AK","","June Lake Airpark","Wasilla","Alaska","US",425,61.627619,-149.575331,"America/Anchorage","06AK"
"06AN","","Niesen Airstrip","Nikiski","Alaska","US",194,60.73382,-151.213594,"America/Anchorage","06AN"
"06AR","","Cy Bond Memorial Airport","Higden","Arkansas","US",499,35.544522,-92.184874,"America/Chicago","06AR"
"06CO","","Jecan Airport","Branson","Colorado","US",5100,37.387514,-103.691061,"America/Denver","06CO"
"06FA","","William P Gwinn Airport","Jupiter","Florida","US",28,26.908153,-80.328414,"America/New_York","06FA"
"06FD","","Grass Roots Airpark","Mascotte","Florida","US",105,28.641667,-81.885,"America/New_York","06FD"
"06IA","","Rich Field","Walford","Iowa","US",880,41.840142,-91.834414,"America/Chicago","06IA"
"06ID","","Larkin Airport","Kuna","Idaho","US",2750,43.462665,-116.359008,"America/Boise","06ID"
"06IL","","Humm Airport","Earlville","Illinois","US",708,41.599528,-88.869944,"America/Chicago","06IL"
"06IS","","Sinele Strip","Nauvoo","Illinois","US",695,40.546432,-91.274316,"America/Chicago","06IS"
"06MO","","Noahs Ark Airport","Waldron","Missouri","US",755,39.230876,-94.801536,"America/Chicago","06MO"
"06MT","","Torgerson Airport","Ethridge","Montana","US",3541,48.558317,-112.109204,"America/Denver","06MT"
"06NC","","Tailwinds Airport","St. Pauls","North Carolina","US",163,34.8275,-78.930278,"America/New_York","06NC"
"06NH","","Cole Farm Airport","Kensington","New Hampshire","US",160,42.928422,-70.973111,"America/New_York","06NH"
"06NV","","Silver Creek Airport","Baker","Nevada","US",5556,39.098333,-114.150278,"America/Los_Angeles","06NV"
"06NY","","Murphy Field","Auburn","New York","US",1100,42.842778,-76.445278,"America/New_York","06NY"
"06OH","","Hal Joy Airfield","Williamsfield","Ohio","US",1160,41.509776,-80.591186,"America/New_York","06OH"
"06OI","","Green Acres Airport","New Lebanon","Ohio","US",915,39.734778,-84.382222,"America/New_York","06OI"
"06PA","","Freefall Oz Airport","Ceres","Pennsylvania","US",1440,41.996,-78.2865,"America/New_York","06PA"
"06TA","","Glaser Field","Buckholts","Texas","US",480,30.90852,-97.116936,"America/Chicago","06TA"
"06TE","","Cavok Airpark","Cleveland","Texas","US",132,30.312958,-95.027285,"America/Chicago","06TE"
"06TN","","Hunter Airport","Columbia","Tennessee","US",640,35.697291,-86.956947,"America/Chicago","06TN"
"06TS","","M Sansom Ranch Airport","Paint Rock","Texas","US",1810,31.421592,-99.836575,"America/Chicago","06TS"
"06TT","","6 Mile Airpark","Fort Mckavett","Texas","US",2165,30.860024,-100.201996,"America/Chicago","06TT"
"06TX","","Diamond N Ranch Airport","Hockley","Texas","US",215,30.05755,-95.812894,"America/Chicago","06TX"
"06VA","","Mount Horeb Field","Grottoes","Virginia","US",1160,38.249019,-78.855303,"America/New_York","06VA"
"06WI","","Lazy River Airport","Wausaukee","Wisconsin","US",720,45.402761,-87.857317,"America/Chicago","06WI"
"06WN","","Western Airpark","Yelm","Washington","US",394,46.924985,-122.553039,"America/Los_Angeles","06WN"
"06XA","","J & W Windy Hill Airport","Van Alstyne","Texas","US",784,33.445983,-96.570797,"America/Chicago","06XA"
"06XS","","Campbell Field","Aubrey","Texas","US",546,33.324722,-97.044167,"America/Chicago","06XS"
"07AA","","Pan Lake Strip","Willow","Alaska","US",357,61.695964,-149.954903,"America/Anchorage","07AA"
"07AN","","Bro Majors Airfield","Trapper Creek","Alaska","US",1408,62.825556,-149.910807,"America/Anchorage","07AN"
"07AR","","Morrilton Airport","Morrilton","Arkansas","US",300,35.194527,-92.800166,"America/Chicago","07AR"
"07CL","","Richvale Airport","Richvale","California","US",100,39.497664,-121.771365,"America/Los_Angeles","07CL"
"07FA","OCA","Ocean Reef Club Airport","Key Largo","Florida","US",6.4,25.324307,-80.275729,"America/New_York","07FA"
"07GA","","Alcovy Airport","Covington","Georgia","US",750,33.675,-83.763056,"America/New_York","07GA"
"07GE","","Pope Pate Field","Ocilla","Georgia","US",335,31.555662,-83.27849,"America/New_York","07GE"
"07IA","","Hoskins Landing Airport","Shambaugh","Iowa","US",971,40.647888,-95.02135,"America/Chicago","07IA"
"07ID","","Shepard Strip","Oldtown","Idaho","US",2313.3,48.14921,-116.998013,"America/Boise","07ID"
"07IN","","Gray Airport","Boggstown","Indiana","US",750,39.573659,-85.913871,"America/Indiana/Indianapolis","07IN"
"07KS","","Heape Field","Augusta","Kansas","US",1321,37.734184,-96.936701,"America/Chicago","07KS"
"07KY","","Blue Lick Airport","Louisville","Kentucky","US",532,38.080622,-85.693292,"America/New_York","07KY"
"07LA","","Richmond Plantation Airport","Forest Hill","Louisiana","US",150,31.053,-92.632875,"America/Chicago","07LA"
